ID,Target
steth_20180921_10_03_32_I_006,I
steth_20180921_15_11_25_I_010,I
steth_20180921_15_11_45_E_014,E
steth_20180921_15_11_45_I_000,I
steth_20180921_15_12_38_E_000,E
steth_20180921_15_12_58_E_014,E
steth_20180921_15_13_20_E_010,E
steth_20180921_15_13_39_E_006,E
steth_20180921_15_13_39_I_012,I
steth_20181001_10_48_18_E_002,E
steth_20181001_10_48_44_I_004,I
steth_20181001_10_49_32_E_002,E
steth_20181001_10_49_32_I_004,I
steth_20181001_11_01_50_I_006,I
steth_20181001_11_02_11_E_003,E
steth_20181001_11_02_11_I_001,I
steth_20181001_11_02_11_I_010,I
steth_20181001_11_02_31_I_004,I
steth_20181001_11_02_31_I_008,I
steth_20181001_11_02_53_E_014,E
steth_20181001_11_04_14_I_002,I
steth_20181001_11_04_14_I_006,I
steth_20181001_11_14_04_I_003,I
steth_20181001_11_14_43_E_001,E
steth_20181001_11_14_43_E_003,E
steth_20181001_11_15_02_E_007,E
steth_20181001_11_15_02_I_006,I
steth_20181001_11_16_23_E_013,E
steth_20181001_11_16_23_I_003,I
steth_20181001_11_16_47_I_008,I
steth_20181001_11_17_08_E_011,E
steth_20181001_11_17_28_I_000,I
steth_20181001_11_17_54_I_000,I
steth_20181001_11_19_25_E_007,E
steth_20181001_11_19_25_I_001,I
steth_20181001_14_05_54_E_006,E
steth_20181001_14_05_54_E_010,E
steth_20181001_14_06_43_E_002,E
steth_20181001_14_07_38_I_002,I
steth_20181001_14_07_56_E_002,E
steth_20181010_10_21_06_E_002,E
steth_20181010_10_21_26_E_009,E
steth_20181010_10_21_26_I_000,I
steth_20181010_10_21_26_I_007,I
steth_20181010_10_22_04_E_009,E
steth_20181010_10_22_53_I_002,I
steth_20181017_12_43_39_E_002,E
steth_20181017_12_43_39_E_010,E
steth_20181017_12_43_58_E_017,E
steth_20181017_12_45_00_E_010,E
steth_20181017_12_45_00_I_003,I
steth_20181017_12_45_19_E_001,E
steth_20181017_12_45_19_I_003,I
steth_20181017_12_45_39_E_013,E
steth_20181017_12_45_58_I_005,I
steth_20181017_12_46_55_E_002,E
steth_20181017_12_46_55_I_000,I
steth_20181017_12_46_55_I_006,I
steth_20181017_12_47_13_I_002,I
steth_20181017_12_47_54_E_016,E
steth_20181017_12_47_54_I_004,I
steth_20181017_12_48_51_E_010,E
steth_20181017_12_48_51_I_011,I
steth_20181018_13_05_43_E_003,E
steth_20181018_13_05_43_I_001,I
steth_20181018_13_06_02_E_005,E
steth_20181018_13_06_02_E_010,E
steth_20181018_13_06_26_I_002,I
steth_20181018_13_06_45_I_003,I
steth_20181018_13_09_53_I_000,I
steth_20181018_13_10_13_I_002,I
steth_20181018_13_10_52_E_006,E
steth_20181018_13_10_52_E_010,E
steth_20181018_13_10_52_I_004,I
steth_20181018_13_11_12_I_002,I
steth_20181018_13_40_15_E_004,E
steth_20181018_13_40_15_E_011,E
steth_20181018_13_41_13_E_003,E
steth_20181018_13_41_13_E_006,E
steth_20181018_13_41_32_E_010,E
steth_20181018_13_41_32_I_008,I
steth_20181018_13_42_11_E_002,E
steth_20181018_14_09_21_E_003,E
steth_20181018_14_09_21_E_011,E
steth_20181018_14_09_40_E_003,E
steth_20181018_14_09_40_E_007,E
steth_20181018_14_09_40_E_015,E
steth_20181018_14_09_59_E_007,E
steth_20181018_14_09_59_I_009,I
steth_20181018_14_10_57_I_000,I
steth_20181018_14_11_18_I_010,I
steth_20181018_14_11_38_E_003,E
steth_20181022_09_36_39_I_007,I
steth_20181022_09_37_03_E_010,E
steth_20181022_09_37_42_E_008,E
steth_20181022_09_37_42_I_004,I
steth_20181022_09_39_04_E_002,E
steth_20181022_09_48_28_E_002,E
steth_20181022_09_48_28_I_007,I
steth_20181022_09_48_46_E_004,E
steth_20181022_09_48_46_I_003,I
steth_20181022_09_49_05_E_002,E
steth_20181022_09_55_05_E_002,E
steth_20181022_09_55_05_I_005,I
steth_20181022_09_55_44_I_006,I
steth_20181022_09_56_03_E_002,E
steth_20181022_09_56_23_E_004,E
steth_20181022_09_57_01_E_011,E
steth_20181022_09_57_19_I_002,I
steth_20181022_10_38_36_I_000,I
steth_20181022_10_38_55_I_000,I
steth_20181022_10_39_38_E_003,E
steth_20181022_10_40_27_E_010,E
steth_20181022_10_40_27_I_000,I
steth_20181022_10_40_48_E_005,E
steth_20181022_10_40_48_I_003,I
steth_20181024_14_03_51_E_004,E
steth_20181024_14_03_51_I_005,I
steth_20181024_14_04_47_I_002,I
steth_20181024_14_07_35_E_002,E
steth_20181024_14_07_35_E_006,E
steth_20181024_14_07_35_I_004,I
steth_20181024_14_08_42_E_007,E
steth_20181031_13_42_54_E_001,E
steth_20181031_13_44_12_E_009,E
steth_20181031_13_44_50_E_009,E
steth_20181102_13_17_53_I_000,I
steth_20181102_13_23_39_I_000,I
steth_20181102_13_42_52_I_004,I
steth_20181102_13_43_15_E_002,E
steth_20181102_13_43_15_E_010,E
steth_20181102_13_43_15_I_004,I
steth_20181102_13_43_48_I_002,I
steth_20181102_13_44_54_I_001,I
steth_20181102_13_45_30_E_003,E
steth_20181102_14_00_56_E_003,E
steth_20181102_14_00_56_I_002,I
steth_20181102_14_09_09_I_004,I
steth_20181104_08_34_37_E_003,E
steth_20181104_08_35_04_E_008,E
steth_20181104_08_35_04_E_011,E
steth_20181104_08_35_04_I_000,I
steth_20181108_16_39_20_E_003,E
steth_20181108_16_39_20_E_007,E
steth_20181108_16_39_41_E_012,E
steth_20181108_16_39_41_I_002,I
steth_20181108_16_40_02_I_016,I
steth_20181108_16_40_49_E_010,E
steth_20181108_16_41_11_E_007,E
steth_20181108_16_41_56_I_000,I
steth_20181110_17_26_33_E_003,E
steth_20181110_17_26_56_E_001,E
steth_20181110_17_28_46_E_001,E
steth_20181110_17_28_46_I_006,I
steth_20181110_17_29_28_I_003,I
steth_20181110_17_29_54_E_004,E
steth_20181110_17_29_54_I_012,I
steth_20181110_17_30_23_I_002,I
steth_20181110_17_50_54_E_001,E
steth_20181110_17_50_54_I_000,I
steth_20181110_17_50_54_I_004,I
steth_20181110_17_52_49_E_004,E
steth_20181110_18_00_43_I_001,I
steth_20181110_18_00_43_I_002,I
steth_20181110_18_37_28_I_000,I
steth_20181112_17_58_38_E_016,E
steth_20181112_17_59_11_E_018,E
steth_20181112_17_59_36_E_024,E
steth_20181112_17_59_36_I_010,I
steth_20181112_17_59_36_I_014,I
steth_20181112_18_00_01_E_007,E
steth_20181112_18_00_34_E_014,E
steth_20181112_18_00_34_I_004,I
steth_20181112_18_00_34_I_012,I
steth_20181112_18_01_37_I_000,I
steth_20181112_18_11_16_I_002,I
steth_20181112_18_11_16_I_006,I
steth_20181112_18_13_26_I_000,I
steth_20181112_18_15_06_I_006,I
steth_20181112_18_16_43_I_000,I
steth_20181112_18_37_44_E_003,E
steth_20181112_18_38_15_E_003,E
steth_20181112_18_38_15_I_004,I
steth_20181113_12_46_24_E_002,E
steth_20181113_12_46_24_E_005,E
steth_20181113_12_46_24_I_007,I
steth_20181113_12_46_52_E_002,E
steth_20181113_12_46_52_I_000,I
steth_20181113_12_47_30_E_001,E
steth_20181113_12_47_56_E_014,E
steth_20181113_12_48_26_E_002,E
steth_20181113_12_48_26_I_001,I
steth_20181113_12_49_30_I_000,I
steth_20181113_12_49_30_I_008,I
steth_20181113_13_16_54_I_000,I
steth_20181113_13_32_37_E_004,E
steth_20181114_09_19_01_E_002,E
steth_20181114_09_19_01_E_010,E
steth_20181114_09_19_52_I_000,I
steth_20181114_09_20_21_I_005,I
steth_20181114_09_21_12_I_000,I
steth_20181114_09_21_12_I_005,I
steth_20181114_09_21_33_E_007,E
steth_20181114_09_21_58_E_002,E
steth_20181114_09_54_55_E_012,E
steth_20181114_09_54_55_I_002,I
steth_20181114_09_55_18_E_008,E
steth_20181114_09_55_18_I_016,I
steth_20181114_09_55_38_I_008,I
steth_20181114_09_56_52_I_028,I
steth_20181114_10_13_21_E_003,E
steth_20181115_09_09_46_E_000,E
steth_20181115_09_09_46_I_008,I
steth_20181115_09_10_59_I_007,I
steth_20181115_15_21_58_E_009,E
steth_20181115_15_22_44_E_001,E
steth_20181115_15_24_00_I_003,I
steth_20181115_15_24_00_I_008,I
steth_20181115_15_24_43_I_001,I
steth_20181116_09_35_08_E_007,E
steth_20181116_09_35_08_E_016,E
steth_20181116_09_35_08_I_015,I
steth_20181116_09_35_31_E_003,E
steth_20181116_09_35_57_I_017,I
steth_20181116_09_36_19_E_001,E
steth_20181116_09_36_19_E_004,E
steth_20181116_09_36_19_I_005,I
steth_20181116_09_37_00_I_002,I
steth_20181116_09_37_00_I_006,I
steth_20181116_09_37_32_E_001,E
steth_20181116_09_37_32_E_003,E
steth_20181116_09_37_32_E_006,E
steth_20181116_09_37_32_E_010,E
steth_20181116_09_37_32_E_014,E
steth_20181116_09_37_32_I_005,I
steth_20181116_09_37_54_E_001,E
steth_20181116_09_37_54_E_003,E
steth_20181116_09_37_54_E_008,E
steth_20181116_09_37_54_I_002,I
steth_20181116_09_38_21_I_001,I
steth_20181116_09_38_21_I_007,I
steth_20181116_09_38_21_I_010,I
steth_20181121_12_01_40_E_005,E
steth_20181121_12_01_40_E_007,E
steth_20181121_12_01_40_E_010,E
steth_20181121_12_02_26_E_005,E
steth_20181121_12_02_26_E_008,E
steth_20181121_12_02_26_I_004,I
steth_20181121_12_03_11_E_000,E
steth_20181121_12_03_11_I_006,I
steth_20181121_12_04_16_E_002,E
steth_20181121_12_04_16_I_004,I
steth_20181121_12_13_02_E_001,E
steth_20181122_15_52_39_I_003,I
steth_20181122_15_53_23_E_012,E
steth_20181122_15_54_08_I_003,I
steth_20181122_15_54_08_I_005,I
steth_20181122_15_54_31_I_006,I
steth_20181122_15_54_31_I_009,I
steth_20181122_15_54_52_E_004,E
steth_20181122_16_44_36_I_004,I
steth_20181123_12_40_25_I_014,I
steth_20181123_12_41_31_I_002,I
steth_20181123_12_41_31_I_008,I
steth_20181123_12_41_58_I_000,I
steth_20181123_12_43_28_I_005,I
steth_20181123_12_43_28_I_013,I
steth_20181123_12_44_05_E_003,E
steth_20181123_12_44_05_E_005,E
steth_20181123_12_44_05_I_002,I
steth_20181123_12_54_23_E_005,E
steth_20181123_12_54_23_I_000,I
steth_20181123_13_01_58_I_000,I
steth_20181123_13_02_27_E_005,E
steth_20181123_13_04_16_E_004,E
steth_20181123_13_04_45_E_005,E
steth_20181123_13_04_45_I_000,I
steth_20181123_13_09_22_I_004,I
steth_20181123_13_09_51_I_003,I
steth_20181123_13_10_23_I_000,I
steth_20181123_13_13_15_I_005,I
steth_20181123_13_15_14_E_008,E
steth_20181123_13_15_14_I_000,I
steth_20181125_19_20_30_I_000,I
steth_20181210_08_33_26_I_000,I
steth_20181210_08_33_45_I_003,I
steth_20181210_08_33_45_I_005,I
steth_20181210_08_34_03_I_001,I
steth_20181210_08_35_16_I_002,I
steth_20181210_08_35_16_I_004,I
steth_20181210_08_43_41_I_001,I
steth_20181210_08_44_18_E_003,E
steth_20181210_08_44_37_I_003,I
steth_20181210_08_44_37_I_004,I
steth_20181210_08_45_56_I_007,I
steth_20181210_08_47_49_I_008,I
steth_20181210_08_49_07_I_000,I
steth_20181210_08_49_25_E_006,E
steth_20181210_08_49_25_E_016,E
steth_20181210_08_49_44_I_002,I
steth_20181210_08_52_52_E_014,E
steth_20181210_08_53_13_E_014,E
steth_20181210_08_53_33_E_000,E
steth_20181210_08_53_33_E_012,E
steth_20181210_08_53_52_E_007,E
steth_20181210_08_54_29_I_000,I
steth_20181210_08_54_49_E_002,E
steth_20181210_08_54_49_E_009,E
steth_20181210_08_55_11_I_000,I
steth_20181210_09_03_07_E_005,E
steth_20181210_09_03_07_E_017,E
steth_20181210_09_04_43_I_005,I
steth_20181210_09_04_43_I_012,I
steth_20181210_09_10_32_E_003,E
steth_20181210_09_18_30_I_002,I
steth_20181210_09_18_30_I_004,I
steth_20181210_09_19_08_I_000,I
steth_20181210_09_19_08_I_004,I
steth_20181210_09_19_46_E_008,E
steth_20181210_09_19_46_I_006,I
steth_20181210_09_21_36_I_003,I
steth_20181210_09_21_54_I_001,I
steth_20181210_09_22_12_I_002,I
steth_20181210_09_23_23_I_002,I
steth_20181210_09_35_29_E_002,E
steth_20181210_09_35_29_E_017,E
steth_20181210_09_35_29_I_009,I
steth_20181210_09_35_29_I_018,I
steth_20181210_09_35_47_E_014,E
steth_20181210_09_36_06_E_004,E
steth_20181210_09_36_06_E_007,E
steth_20181210_09_36_06_E_013,E
steth_20181210_09_36_43_I_005,I
steth_20181210_09_37_01_E_005,E
steth_20181210_09_37_01_E_013,E
steth_20181210_09_37_01_I_000,I
steth_20181210_09_37_01_I_006,I
steth_20181210_09_37_20_E_013,E
steth_20181210_09_37_20_I_004,I
steth_20181210_09_37_37_I_000,I
steth_20181210_10_53_16_I_000,I
steth_20181210_10_53_16_I_002,I
steth_20181210_10_54_15_I_000,I
steth_20181210_12_26_59_E_012,E
steth_20181210_12_27_17_E_000,E
steth_20181210_12_27_17_I_002,I
steth_20181210_12_27_36_E_010,E
steth_20181210_12_27_55_E_000,E
steth_20181210_12_27_55_I_006,I
steth_20181210_12_28_13_I_002,I
steth_20181210_12_28_55_I_002,I
steth_20181210_12_29_14_E_007,E
steth_20181210_12_30_20_E_000,E
steth_20181210_12_30_20_E_006,E
steth_20181210_12_31_39_E_012,E
steth_20181210_12_31_39_I_006,I
steth_20181210_12_32_22_I_000,I
steth_20181210_12_38_10_I_004,I
steth_20181210_12_38_47_E_001,E
steth_20181210_12_57_50_E_007,E
steth_20181210_12_57_50_I_002,I
steth_20181210_12_58_47_I_005,I
steth_20181212_08_34_37_I_002,I
steth_20181219_08_36_09_E_012,E
steth_20181219_08_36_09_I_002,I
steth_20181219_08_36_41_E_002,E
steth_20181219_08_36_41_E_014,E
steth_20181219_08_37_08_I_008,I
steth_20181219_08_37_30_I_000,I
steth_20181219_08_38_08_I_000,I
steth_20181219_08_38_33_E_001,E
steth_20181219_08_38_33_E_009,E
steth_20181219_08_38_33_I_003,I
steth_20181219_08_38_56_E_002,E
steth_20181219_08_39_16_I_000,I
steth_20181220_09_04_17_I_005,I
steth_20181220_17_22_41_I_003,I
steth_20181220_17_25_59_I_002,I
steth_20181222_08_53_20_E_000,E
steth_20181222_08_53_20_I_003,I
steth_20181222_09_34_34_E_003,E
steth_20181222_09_34_34_E_005,E
steth_20181222_09_35_04_E_007,E
steth_20181222_09_35_32_E_001,E
steth_20181222_09_35_32_E_006,E
steth_20181222_09_36_28_I_004,I
steth_20181222_09_36_51_E_003,E
steth_20181222_09_36_51_E_005,E
steth_20181222_09_38_19_E_002,E
steth_20181222_09_38_42_I_003,I
steth_20181222_09_40_19_E_001,E
steth_20181222_09_40_19_E_003,E
steth_20181222_09_41_01_I_000,I
steth_20181222_09_48_44_I_010,I
steth_20181223_08_39_14_E_006,E
steth_20181223_08_39_14_E_011,E
steth_20181223_08_39_54_E_002,E
steth_20181223_08_39_54_E_008,E
steth_20181223_08_39_54_I_004,I
steth_20181223_08_40_50_E_005,E
steth_20181226_17_24_46_I_001,I
steth_20190101_16_44_13_I_010,I
steth_20190101_16_44_46_E_006,E
steth_20190101_16_44_46_I_003,I
steth_20190101_16_45_09_I_000,I
steth_20190101_16_45_59_I_002,I
steth_20190102_08_29_10_I_000,I
steth_20190102_08_30_49_E_003,E
steth_20190102_08_32_00_I_005,I
steth_20190102_08_32_19_I_005,I
steth_20190102_08_32_38_I_009,I
steth_20190102_08_33_35_E_010,E
steth_20190102_08_33_35_I_000,I
steth_20190102_08_34_59_E_004,E
steth_20190102_08_36_12_E_010,E
steth_20190102_08_36_12_I_004,I
steth_20190102_08_36_32_E_002,E
steth_20190102_08_36_32_E_006,E
steth_20190102_08_36_32_I_008,I
steth_20190102_08_37_11_E_002,E
steth_20190102_08_37_11_E_010,E
steth_20190102_08_38_12_E_003,E
steth_20190102_08_38_12_E_007,E
steth_20190102_08_38_12_I_002,I
steth_20190102_08_39_50_E_010,E
steth_20190102_08_40_08_E_002,E
steth_20190102_08_40_29_E_002,E
steth_20190102_08_40_49_E_006,E
steth_20190102_08_42_06_E_002,E
steth_20190102_08_43_43_E_005,E
steth_20190102_08_49_40_E_008,E
steth_20190102_08_49_58_E_000,E
steth_20190102_08_50_16_E_007,E
steth_20190102_08_50_35_I_005,I
steth_20190102_08_52_24_E_008,E
steth_20190102_08_52_24_E_012,E
steth_20190102_08_53_22_I_003,I
steth_20190102_10_08_09_E_009,E
steth_20190102_10_08_09_I_012,I
steth_20190102_10_09_05_E_009,E
steth_20190102_10_09_23_E_002,E
steth_20190102_10_09_23_E_009,E
steth_20190102_10_09_23_I_008,I
steth_20190102_10_09_23_I_011,I
steth_20190102_10_10_01_E_003,E
steth_20190102_10_10_01_E_006,E
steth_20190102_10_10_21_E_004,E
steth_20190102_10_10_21_I_001,I
steth_20190102_10_10_21_I_003,I
steth_20190102_10_26_28_E_006,E
steth_20190102_10_28_04_E_006,E
steth_20190102_10_28_04_I_003,I
steth_20190102_10_28_23_E_008,E
steth_20190102_10_28_23_I_000,I
steth_20190102_10_29_28_E_003,E
steth_20190102_10_29_28_E_005,E
steth_20190102_10_29_28_I_000,I
steth_20190102_10_29_45_E_001,E
steth_20190102_10_30_43_E_003,E
steth_20190102_10_30_43_E_005,E
steth_20190102_10_30_43_I_006,I
steth_20190102_10_31_02_E_004,E
steth_20190102_10_31_02_I_001,I
steth_20190102_10_38_02_E_006,E
steth_20190102_10_38_02_E_011,E
steth_20190102_10_38_02_E_014,E
steth_20190102_10_38_20_E_007,E
steth_20190102_10_38_20_I_008,I
steth_20190102_10_50_29_E_003,E
steth_20190102_10_50_29_E_005,E
steth_20190102_10_50_47_E_010,E
steth_20190102_10_51_05_I_000,I
steth_20190102_10_51_05_I_009,I
steth_20190102_10_51_43_E_004,E
steth_20190102_10_51_43_I_000,I
steth_20190102_10_52_22_E_013,E
steth_20190102_10_52_22_I_012,I
steth_20190102_10_52_40_I_006,I
steth_20190102_12_53_40_E_001,E
steth_20190102_12_54_35_E_001,E
steth_20190102_12_54_57_E_004,E
steth_20190102_12_59_23_I_000,I
steth_20190102_12_59_41_E_006,E
steth_20190102_13_00_01_I_003,I
steth_20190102_13_00_38_I_004,I
steth_20190102_13_00_57_I_001,I
steth_20190102_13_00_57_I_003,I
steth_20190102_13_05_10_E_001,E
steth_20190102_13_05_10_E_003,E
steth_20190102_13_05_32_E_006,E
steth_20190102_13_05_54_E_003,E
steth_20190102_13_05_54_I_000,I
steth_20190102_13_13_12_I_005,I
steth_20190103_09_02_59_E_001,E
steth_20190103_09_18_18_E_002,E
steth_20190103_09_19_09_E_006,E
steth_20190103_09_19_09_I_003,I
steth_20190103_09_20_48_E_002,E
steth_20190103_09_21_37_E_002,E
steth_20190103_09_21_37_E_005,E
steth_20190106_09_14_40_E_001,E
steth_20190106_09_14_40_I_011,I
steth_20190106_09_15_06_E_005,E
steth_20190106_09_15_06_I_016,I
steth_20190106_09_15_25_E_002,E
steth_20190106_09_15_25_I_004,I
steth_20190106_09_15_25_I_012,I
steth_20190106_09_15_50_E_001,E
steth_20190106_09_15_50_E_009,E
steth_20190106_09_15_50_I_000,I
steth_20190106_09_16_10_I_003,I
steth_20190106_09_16_31_I_013,I
steth_20190106_09_16_49_E_002,E
steth_20190106_09_16_49_E_005,E
steth_20190106_09_46_19_E_001,E
steth_20190106_09_51_16_E_003,E
steth_20190106_09_53_24_E_004,E
steth_20190109_12_55_00_E_001,E
steth_20190109_12_55_27_E_002,E
steth_20190109_13_28_38_I_002,I
steth_20190109_13_28_38_I_004,I
steth_20190109_13_30_43_I_004,I
steth_20190109_13_31_15_E_007,E
steth_20190109_13_31_43_E_006,E
steth_20190109_13_52_07_I_004,I
steth_20190113_08_25_24_E_005,E
steth_20190113_08_48_32_I_006,I
steth_20190113_08_48_32_I_009,I
steth_20190113_08_48_50_I_004,I
steth_20190113_08_49_48_I_000,I
steth_20190113_08_50_07_E_006,E
steth_20190113_09_19_45_E_002,E
steth_20190113_09_19_45_E_006,E
steth_20190113_09_20_40_E_013,E
steth_20190113_09_20_40_I_003,I
steth_20190113_09_20_58_E_003,E
steth_20190113_09_20_58_I_000,I
steth_20190113_09_21_35_E_014,E
steth_20190113_09_21_53_E_002,E
steth_20190113_09_21_53_E_010,E
steth_20190113_09_21_53_I_000,I
steth_20190113_09_21_53_I_004,I
steth_20190113_09_22_40_I_004,I
steth_20190113_09_23_01_E_001,E
steth_20190113_09_23_01_I_000,I
steth_20190113_09_24_37_I_001,I
steth_20190113_09_25_43_E_008,E
steth_20190113_09_25_43_I_000,I
steth_20190113_09_25_43_I_004,I
steth_20190113_09_25_43_I_006,I
steth_20190113_09_26_02_E_003,E
steth_20190113_09_26_02_E_008,E
steth_20190113_09_26_02_I_012,I
steth_20190113_09_26_21_I_008,I
steth_20190113_09_27_01_E_001,E
steth_20190113_09_27_01_E_007,E
steth_20190113_09_27_01_I_002,I
steth_20190113_09_27_21_E_005,E
steth_20190113_09_27_21_E_009,E
steth_20190113_09_27_21_I_008,I
steth_20190113_09_27_21_I_012,I
steth_20190113_09_28_01_I_002,I
steth_20190113_09_30_16_I_000,I
steth_20190113_09_30_34_E_003,E
steth_20190113_09_30_58_E_007,E
steth_20190113_09_30_58_I_009,I
steth_20190113_09_31_35_E_010,E
steth_20190113_09_31_35_I_000,I
steth_20190113_09_32_30_E_000,E
steth_20190113_09_32_30_E_008,E
steth_20190113_09_38_32_I_002,I
steth_20190113_09_38_51_I_004,I
steth_20190113_11_36_35_I_008,I
